clase;forma-del-sombrero;superficie-del-sombrero;color-del-sombrero;lastimaduras;olor;union-laminas;separacion-laminas;tamano-laminas;color-laminas;forma-tallo;raiz-tallo;superficie-tallo-arriba-del-anillo;superficie-tallo-debajo-del-anillo;color-tallo-arriba-del-anillo;color-tallo-debajo-del-anillo;tipo-de-velo;color-del-velo;numero-de-anillos;tipo-de-anillos;color-impresion-de-esporas;poblacion;habitat
Venenoso;Convexa;Lisa;Marron;Si;Pungente;Libres;Cercanas;Estrechas;Negro;Agrandado;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Negro;Dispersa;Urbano
Comestible;Convexa;Lisa;Amarillo;Si;Almendra;Libres;Cercanas;Anchas;Negro;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Numerosa;Hierbas
Comestible;Campana;Lisa;Blanco;Si;Anis;Libres;Cercanas;Anchas;Marron;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Numerosa;Praderas
Venenoso;Convexa;Escamosa;Blanco;Si;Pungente;Libres;Cercanas;Estrechas;Marron;Agrandado;Igual;Lisa;Lisa;Blanco;Blanco;Universal;Blanco;Uno;Colgante;Negro;Dispersa;Urbano
Comestible;Convexa;Lisa;Gris;No;Ninguno;Libres;Aglomeradas;Anchas;Negro;Enflaquecido;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Evanescente;Marron;Abundante;Hierbas
Comestible;Convexa;Escamosa;Amarillo;Si;Almendra;Libres;Cercanas;Anchas;Marron;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Negro;Numerosa;Hierbas
Comestible;Campana;Lisa;Blanco;Si;Almendra;Libres;Cercanas;Anchas;Gris;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Negro;Numerosa;Praderas
Comestible;Campana;Escamosa;Blanco;Si;Anis;Libres;Cercanas;Anchas;Marron;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Dispersa;Praderas
Venenoso;Convexa;Escamosa;Blanco;Si;Pungente;Libres;Cercanas;Estrechas;Rosa;Agrandado;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Negro;Varia;Hierbas
Comestible;Campana;Lisa;Amarillo;Si;Almendra;Libres;Cercanas;Anchas;Gris;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Negro;Dispersa;Praderas
Comestible;Convexa;Escamosa;Amarillo;Si;Anis;Libres;Cercanas;Anchas;Gris;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Numerosa;Hierbas
Comestible;Convexa;Escamosa;Amarillo;Si;Almendra;Libres;Cercanas;Anchas;Marron;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Negro;Dispersa;Praderas
Comestible;Campana;Lisa;Amarillo;Si;Almendra;Libres;Cercanas;Anchas;Blanco;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Dispersa;Hierbas
Venenoso;Convexa;Escamosa;Blanco;Si;Pungente;Libres;Cercanas;Estrechas;Negro;Agrandado;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Varia;Urbano
Comestible;Convexa;Fibrosa;Marron;No;Ninguno;Libres;Aglomeradas;Anchas;Marron;Enflaquecido;Igual;Lisa;Fibrosa;Blanco;Blanco;Parcial;Blanco;Uno;Evanescente;Negro;Abundante;Hierbas
Comestible;Hundida;Fibrosa;Gris;No;Ninguno;Libres;Cercanas;Estrechas;Negro;Agrandado;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Solitaria;Urbano
Comestible;Plana;Fibrosa;Blanco;No;Ninguno;Libres;Aglomeradas;Anchas;Negro;Enflaquecido;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Evanescente;Marron;Abundante;Hierbas
Venenoso;Convexa;Lisa;Marron;Si;Pungente;Libres;Cercanas;Estrechas;Marron;Agrandado;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Negro;Dispersa;Hierbas
Venenoso;Convexa;Escamosa;Blanco;Si;Pungente;Libres;Cercanas;Estrechas;Marron;Agrandado;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Dispersa;Urbano
Venenoso;Convexa;Lisa;Marron;Si;Pungente;Libres;Cercanas;Estrechas;Negro;Agrandado;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Dispersa;Urbano
Comestible;Campana;Lisa;Amarillo;Si;Almendra;Libres;Cercanas;Anchas;Negro;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Dispersa;Praderas
Venenoso;Convexa;Escamosa;Marron;Si;Pungente;Libres;Cercanas;Estrechas;Marron;Agrandado;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Varia;Hierbas
Comestible;Campana;Escamosa;Amarillo;Si;Anis;Libres;Cercanas;Anchas;Negro;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Dispersa;Praderas
Comestible;Campana;Escamosa;Blanco;Si;Almendra;Libres;Cercanas;Anchas;Blanco;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Numerosa;Praderas
Comestible;Campana;Lisa;Blanco;Si;Anis;Libres;Cercanas;Anchas;Gris;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Negro;Dispersa;Praderas
Venenoso;Plana;Lisa;Blanco;Si;Pungente;Libres;Cercanas;Estrechas;Marron;Agrandado;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Varia;Hierbas
Comestible;Convexa;Escamosa;Amarillo;Si;Almendra;Libres;Cercanas;Anchas;Marron;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Numerosa;Praderas
Comestible;Convexa;Escamosa;Blanco;Si;Anis;Libres;Cercanas;Anchas;Blanco;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Numerosa;Praderas
Comestible;Plana;Fibrosa;Marron;No;Ninguno;Libres;Cercanas;Estrechas;Negro;Agrandado;Igual;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Negro;Solitaria;Urbano
Comestible;Convexa;Lisa;Amarillo;Si;Almendra;Libres;Aglomeradas;Estrechas;Marron;Enflaquecido;Bulbosa;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Varia;Bosques
Comestible;Campana;Lisa;Amarillo;Si;Anis;Libres;Cercanas;Anchas;Gris;Agrandado;Clava;Lisa;Lisa;Blanco;Blanco;Parcial;Blanco;Uno;Colgante;Marron;Numerosa;Praderas
